NodeCount,ArcCount,Objective,Repetition,Status,ProblemCode,SolverInfo,StarterProcessId,WorkerProcessId,StarterWorkerPidMatch,WorkerPidConfirmedByResult,MonitoringAttached,MonitoringSource,StarterExitCode,WorkerExitCode,SamplingPeriod_s,MemorySamples_ModelPlusSolve,MemorySamples_Optimize,BaselineBeforeModelWorkingSet_MB,BaselineBeforeModelPrivateMemory_MB,BaselineBeforeOptimizeWorkingSet_MB,BaselineBeforeOptimizePrivateMemory_MB,SampledPeakModelPlusSolveWorkingSet_MB,SampledPeakModelPlusSolvePrivateMemory_MB,SampledPeakOptimizeWorkingSet_MB,SampledPeakOptimizePrivateMemory_MB,PeakModelPlusSolveWorkingSet_MB,PeakModelPlusSolvePrivateMemory_MB,PeakOptimizeWorkingSet_MB,PeakOptimizePrivateMemory_MB,AdditionalPeakWorkingSet_MB,AdditionalPeakPrivateMemory_MB,AdditionalModelPlusSolveWorkingSet_MB,AdditionalModelPlusSolvePrivateMemory_MB,MemoryMeasurementValid,MemoryMeasurementNote,SolverTime_s,YALMIPTime_s,OptimizeWallTime_s,RelativeGap_percent,AbsoluteGap,ApproxBinaryVariables,ApproxContinuousVariables,ErrorMessage
10,15,cost,12,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),32952,19528,0,1,1,worker-reported-pid,0,NaN,0.05,157,57,506.7265625,407.13671875,655.36328125,518.82421875,734.984375,591.16796875,734.984375,591.16796875,734.984375,591.16796875,734.984375,591.16796875,79.62109375,72.34375,228.2578125,184.03125,1,OK,2.1407005,1.3772995,3.5443659,0,0,11630,1020,
10,15,cost,13,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),31320,27388,0,1,1,worker-reported-pid,0,NaN,0.05,176,56,506.30859375,408.93359375,654.66015625,518.72265625,732.9140625,589.8984375,732.9140625,589.8984375,732.9140625,589.8984375,732.9140625,589.8984375,78.25390625,71.17578125,226.60546875,180.96484375,1,OK,2.1197426,1.3192574,3.4660109,0,0,11630,1020,
10,15,cost,14,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33496,34588,0,1,1,worker-reported-pid,0,NaN,0.05,159,58,510.8203125,410.88671875,660.3359375,524.48046875,740.0234375,598.34765625,740.0234375,598.34765625,740.0234375,598.34765625,740.0234375,598.34765625,79.6875,73.8671875,229.203125,187.4609375,1,OK,2.185164,1.388836,3.6014731,0,0,11630,1020,
10,15,cost,15,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),21944,10480,0,1,1,worker-reported-pid,0,NaN,0.05,80,30,507.55078125,405.17578125,658.73046875,522.6328125,739.0234375,595.87890625,739.0234375,595.87890625,739.0234375,595.87890625,739.0234375,595.87890625,80.29296875,73.24609375,231.47265625,190.703125,1,OK,1.28732,0.579680000000001,1.884896,0,0,11630,1020,
10,15,cost,16,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),28244,33504,0,1,1,worker-reported-pid,0,NaN,0.05,78,28,509.6953125,411.46875,658.23828125,522.0390625,738.53515625,596.64453125,738.53515625,596.64453125,738.53515625,596.64453125,738.53515625,596.64453125,80.296875,74.60546875,228.83984375,185.17578125,1,OK,1.2799529,0.478047100000003,1.7737069,0,0,11630,1020,
10,15,cost,17,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33188,33892,0,1,1,worker-reported-pid,0,NaN,0.05,150,57,507.6015625,410.22265625,657.77734375,521.31640625,737.1484375,594.71875,737.1484375,594.71875,737.1484375,594.71875,737.1484375,594.71875,79.37109375,73.40234375,229.546875,184.49609375,1,OK,2.1460779,1.4109221,3.5847104,0,0,11630,1020,
10,15,cost,18,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),5680,23652,0,1,1,worker-reported-pid,0,NaN,0.05,168,59,508.765625,414.21875,656.5390625,520.08984375,736.84375,593.69921875,736.84375,593.69921875,736.84375,593.69921875,736.84375,593.69921875,80.3046875,73.609375,228.078125,179.48046875,1,OK,2.2234498,1.3925502,3.6443562,0,0,11630,1020,
10,15,cost,19,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),34280,33676,0,1,1,worker-reported-pid,0,NaN,0.05,223,67,507.3828125,408.05078125,657.01953125,521.28515625,735.10546875,593.19921875,735.10546875,593.19921875,735.10546875,593.19921875,735.10546875,593.19921875,78.0859375,71.9140625,227.72265625,185.1484375,1,OK,2.4329039,1.7320961,4.1990677,0,0,11630,1020,
10,15,cost,20,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33884,9016,0,1,1,worker-reported-pid,0,NaN,0.05,168,59,507.72265625,408.69921875,655.8046875,519.44140625,735.17578125,592.05859375,735.17578125,592.05859375,735.17578125,592.05859375,735.17578125,592.05859375,79.37109375,72.6171875,227.453125,183.359375,1,OK,2.2133736,1.38962639999999,3.628558,0,0,11630,1020,
10,15,distance,1,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),24072,28820,0,1,1,worker-reported-pid,0,NaN,0.05,150,30,506.77734375,407.01953125,656.01171875,520.09375,729.84765625,586.66796875,729.84765625,586.66796875,729.84765625,586.66796875,729.84765625,586.66796875,73.8359375,66.57421875,223.0703125,179.6484375,1,OK,0.4793492,1.3226508,1.8260186,0,0,11630,1020,
10,15,distance,2,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),33576,33420,0,1,1,worker-reported-pid,0,NaN,0.05,56,12,505.12890625,405.234375,654.875,518.90625,727.3125,584.078125,727.3125,584.078125,727.3125,584.078125,727.3125,584.078125,72.4375,65.171875,222.18359375,178.84375,1,OK,0.2698082,0.437191799999999,0.7208364,0,0,11630,1020,
10,15,distance,3,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),4784,27896,0,1,1,worker-reported-pid,0,NaN,0.05,115,29,507.7265625,407.58203125,658.73828125,522.71484375,729.640625,587.21484375,729.640625,587.21484375,729.640625,587.21484375,729.640625,587.21484375,70.90234375,64.5,221.9140625,179.6328125,1,OK,0.483544,1.323456,1.8305468,0,0,11630,1020,
10,15,distance,4,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),29612,33076,0,1,1,worker-reported-pid,0,NaN,0.05,64,13,508.6640625,411.94140625,657.28515625,520.87890625,730.21484375,587.01953125,730.21484375,587.01953125,730.21484375,587.01953125,730.21484375,587.01953125,72.9296875,66.140625,221.55078125,175.078125,1,OK,0.2906797,0.5323203,0.8363033,0,0,11630,1020,
10,15,distance,5,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),31728,1864,0,1,1,worker-reported-pid,0,NaN,0.05,63,13,506.7109375,405.23046875,655.9765625,520.2421875,727.921875,585.00390625,727.921875,585.00390625,727.921875,585.00390625,727.921875,585.00390625,71.9453125,64.76171875,221.2109375,179.7734375,1,OK,0.3089647,0.489035300000002,0.8121929,0,0,11630,1020,
10,15,distance,6,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),13060,23644,0,1,1,worker-reported-pid,0,NaN,0.05,65,13,510.94921875,416.58203125,660.9765625,524.6953125,734.078125,590.63671875,734.078125,590.63671875,734.078125,590.63671875,734.078125,590.63671875,73.1015625,65.94140625,223.12890625,174.0546875,1,OK,0.2999879,0.4890121,0.8020898,0,0,11630,1020,
10,15,distance,7,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),15632,32256,0,1,1,worker-reported-pid,0,NaN,0.05,64,14,508.34375,409.00390625,656.16796875,520.82421875,729.60546875,587.4765625,729.60546875,587.4765625,729.60546875,587.4765625,729.60546875,587.4765625,73.4375,66.65234375,221.26171875,178.47265625,1,OK,0.2974241,0.582575899999999,0.8940465,0,0,11630,1020,
10,15,distance,8,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),10328,26248,0,1,1,worker-reported-pid,0,NaN,0.05,63,13,511.1796875,407.96875,658.68359375,526.796875,731.5390625,592.55078125,731.5390625,592.55078125,731.5390625,592.55078125,731.5390625,592.55078125,72.85546875,65.75390625,220.359375,184.58203125,1,OK,0.2884802,0.488519800000001,0.7922777,0,0,11630,1020,
10,15,distance,9,Optimal,0,Successfully solved (Successfully solved (INTLINPROG)),27568,5240,0,1,1,worker-reported-pid,0,NaN,0.05,60,12,508.37109375,409.890625,656.625,520.92578125,728.6171875,585.30078125,728.6171875,585.30078125,728.6171875,585.30078125,728.6171875,585.30078125,71.9921875,64.375,220.24609375,175.41015625,1,OK,0.2855731,0.456426900000004,0.7550821,0,0,11630,1020,
